germany,english
der,the
und,and
in,in
sein,be
ein,a 
haben,to have
sie,you
werden,will
von,from
ich,I
nicht,Not
es,it
mit,With
sich,itself
er,he
auf,on
für,for
auch,also
an,on
dass,that
zu,to
als,as
können,be able
dies,this
wie,how
wir,we
ihr,her
so,so
bei,at
sein,be
aber,but
man,one
noch,still
nach,after
oder,or
all,Alles
aus,out
was,What
nur,only 
sagen,to say
dann,then
wenn,if
müssen,have to
um,around
ja,Yes
kein,no
über,above
da,there
geben,give
vor,before
mein,my
mehr,more
Jahr,Year
du,you
durch,through
viel,a lot of
wollen,want
machen,make
andere,other
sollen,must
schon,beautiful
kommen,come
mir,me
immer,always
mich,me
gehen,walk
groß,big
hier,here
ganz,all
zwei,two
also,so
jetzt,now
doch,yet
wieder,again
uns,us
gut,Well
bis,until
wissen,to know
sehen,see
einer,one
sehr,very
Mal,Times
lassen,to let
neu,New
stehen,stand
unser,our
jede,every
weil,because
unter,under
Mensch,person
ihm,him
ihn,him
denn,then
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,Woman
etwas,some